10 ; 0
20 ; 92
30 ; 321
40 ; 348
50 ; 441
60 ; 481
70 ; 490
80 ; 521
90 ; 537
100 ; 538
110 ; 554
120 ; 562
130 ; 564
140 ; 572
150 ; 576
