time,Kp,Ki,Kd
0,-0.8757142065443428,-0.37273370733370603,-1.6281210041016054
1,-0.9444597418311824,0.84439163779045,-1.2948107199714736
2,0.8515223259124305,-1.5703193699425602,-1.8353044181483709
3,0.8508223259124306,-1.57101936994256,-1.8360044181483708
4,0.8501223259124306,-1.57171936994256,-1.836704418148371
5,0.8494223259124307,-1.57241936994256,-1.8374044181483709
6,0.8487223259124307,-1.5731193699425599,-1.8381044181483708
7,0.8480223259124308,-1.5738193699425598,-1.8388044181483707
8,0.8473223259124307,-1.5745193699425597,-1.8395044181483706
9,0.8466223259124307,-1.5752193699425596,-1.8402044181483705
